clim.mean,clim.var,pop.var,lt.pop.lam,asp.effect,asp.mag,clim.sd,rho,rep,move.rate
-7.769126613030766e-5,1.1771021682516384e-6,3.053688608042905e-12,0.9926010380325697,"c(-1,1)",4.5,0.001,0.2,1,0
-1.0947178375686297e-4,8.861500984854026e-7,3.058996717715208e-12,1.0051889511893637,"c(-1,1)",4.75,0.001,0,1,0
8.453833701045765e-5,1.0264693856178106e-6,3.3402705143939893e-12,1.0051891706263145,"c(-1,1)",4.75,0.001,0.1,1,0
1.2245972088906914e-4,1.0155777460792876e-6,3.709512171880621e-12,1.0051891772535995,"c(-1,1)",4.75,0.001,0.2,1,0
6.534091770509624e-5,8.777467525459826e-7,5.183133151546688e-12,1.0005759370848504,"c(-1,1)",5,0.001,0,1,0
8.894074934494541e-5,1.036097455887804e-6,5.0543903570355314e-12,1.0005759881152214,"c(-1,1)",5,0.001,0.1,1,0
1.8866390262859807e-6,9.153521359690925e-7,4.88158659595705e-12,1.0005758857276392,"c(-1,1)",5,0.001,0.2,1,0
0.015493928435979501,0.30426186957699314,1.8281768711880698e-7,1.0004150593471217,"c(-1,1)",0,0.5,0,1,0
-0.04954304201838023,0.2638148568367417,1.1036571382729847e-7,1.0004702038701485,"c(-1,1)",0,0.5,0.1,1,0
0.10062346741470168,0.275005780223787,1.3762726341471534e-7,1.0004414522237834,"c(-1,1)",0,0.5,0.2,1,0
0.02060816983660285,0.2502539532239888,8.237703158771318e-8,1.0004021969165338,"c(-1,1)",0.25,0.5,0,1,0
0.012199221882899118,0.22070598003638398,7.409432871152135e-8,1.0004415577718713,"c(-1,1)",0.25,0.5,0.1,1,0
0.006458457063914089,0.22521579129049535,9.07851038708683e-8,1.000438858925943,"c(-1,1)",0.25,0.5,0.2,1,0
-0.021857753650862878,0.3042019412903242,1.14595304271294e-7,1.000062051105754,"c(-1,1)",0.5,0.5,0,1,0
0.06736307048950844,0.2578907933211189,7.51330340266955e-8,1.0001201917585074,"c(-1,1)",0.5,0.5,0.1,1,0
-0.013956119628332047,0.22699663105636142,5.265402119521936e-8,1.0001744790676146,"c(-1,1)",0.5,0.5,0.2,1,0
0.038899786570573164,0.28818328842330704,7.512957698986825e-8,0.9996389742129189,"c(-1,1)",0.75,0.5,0,1,0
-0.011449840642757936,0.18792714389664,4.287285079529451e-8,0.9997851656253306,"c(-1,1)",0.75,0.5,0.1,1,0
-0.04638986587623178,0.23921086766310207,8.44650341862275e-8,0.9997138319329915,"c(-1,1)",0.75,0.5,0.2,1,0
-0.0461993201178274,0.24321041677159347,9.374656574560812e-8,0.9990869298921788,"c(-1,1)",1,0.5,0,1,0
0.03353732169249084,0.2587259053725959,9.034594905740154e-8,0.9990598833291915,"c(-1,1)",1,0.5,0.1,1,0
-0.06881003360808623,0.24493729488287475,1.0242336526600767e-7,0.9990752866921031,"c(-1,1)",1,0.5,0.2,1,0
-0.02691130477356212,0.23717197028353332,6.863096071285069e-8,0.9982967725773372,"c(-1,1)",1.25,0.5,0,1,0
0.040000140660483595,0.2699828085446937,1.3625519646323755e-7,0.9982510230562731,"c(-1,1)",1.25,0.5,0.1,1,0
0.023614022312257805,0.21988573451197413,4.495086239089149e-8,0.9983208075770088,"c(-1,1)",1.25,0.5,0.2,1,0
-0.0142423758134094,0.25749842026531394,9.051302183592264e-8,1.0021645062602276,"c(-1,1)",1.5,0.5,0,1,0
1.6956329017609449e-4,0.22667965104929716,8.049674498782308e-8,1.002210672382274,"c(-1,1)",1.5,0.5,0.1,1,0
0.011400948504888838,0.2442795870202996,1.0335909994638885e-7,1.0021837365839683,"c(-1,1)",1.5,0.5,0.2,1,0
0.03369076520881819,0.23759286975448177,7.311131893068116e-8,1.0009883547086285,"c(-1,1)",1.75,0.5,0,1,0
-0.022011690131761855,0.2327336846167857,9.079826638844902e-8,1.001001696464395,"c(-1,1)",1.75,0.5,0.1,1,0
-0.02114103786758378,0.31631561746751724,1.6904445548955992e-7,1.0008764049187733,"c(-1,1)",1.75,0.5,0.2,1,0
-0.011092292293345223,0.2300521983912917,8.609019326343819e-8,0.9996250795033691,"c(-1,1)",2,0.5,0,1,0
-0.051677798079230175,0.2613820853620817,1.30033460599877e-7,0.9995767603397432,"c(-1,1)",2,0.5,0.1,1,0
-0.0013949463764225075,0.25814536085180595,1.0503274157095776e-7,0.9995823785070708,"c(-1,1)",2,0.5,0.2,1,0
-0.01618595460540151,0.2270925427568237,9.292706280014001e-8,0.9980617850337867,"c(-1,1)",2.25,0.5,0,1,0
0.03764967799941762,0.24320137061623556,1.06765181957324e-7,0.9980509504318459,"c(-1,1)",2.25,0.5,0.1,1,0
-0.0766487468526034,0.2397055766098321,8.768036810569851e-8,0.9980495695503642,"c(-1,1)",2.25,0.5,0.2,1,0
0.010633714165226337,0.23535576479006146,1.647885552769001e-7,0.9963092698118912,"c(-1,1)",2.5,0.5,0,1,0
-0.047214993229169305,0.23378797771046922,8.492736294513623e-8,0.9963067556452881,"c(-1,1)",2.5,0.5,0.1,1,0
0.019528911441889833,0.27011223393470013,1.3884664710902652e-7,0.9962456577934358,"c(-1,1)",2.5,0.5,0.2,1,0
0.07255623897362921,0.25662620133910474,2.2845515870085762e-7,1.003239689452858,"c(-1,1)",2.75,0.5,0,1,0
-0.013853257380160714,0.2157637442964955,8.614514186785624e-8,1.0032237293730557,"c(-1,1)",2.75,0.5,0.1,1,0
-0.016615163167966362,0.2657670726446527,2.724075623743691e-7,1.0031574687809237,"c(-1,1)",2.75,0.5,0.2,1,0
-0.05449824658242273,0.22184004078101474,1.4669908181693772e-7,1.0008973820084173,"c(-1,1)",3,0.5,0,1,0
0.018801104694498964,0.276842361269166,2.1890916155678503e-7,1.000865505895356,"c(-1,1)",3,0.5,0.1,1,0
0.017442129174676035,0.2752618718405327,2.4855599101761195e-7,1.0008721909668075,"c(-1,1)",3,0.5,0.2,1,0
-4.504239165088776e-5,0.2585807439147537,1.561747175402519e-7,0.99841592781119,"c(-1,1)",3.25,0.5,0,1,0
-0.06083295039173291,0.24179340089905188,1.448524309569839e-7,0.998431649539532,"c(-1,1)",3.25,0.5,0.1,1,0
-0.016928563174031526,0.23475204503995134,1.4621510835306243e-7,0.9984512138290068,"c(-1,1)",3.25,0.5,0.2,1,0
-0.041667989616437015,0.235829113016837,1.9254251259058786e-7,1.0057574188098926,"c(-1,1)",3.5,0.5,0,1,0
0.04973361933525825,0.20912905226414247,6.506117350560961e-7,1.0059450175642068,"c(-1,1)",3.5,0.5,0.1,1,0
-0.01533169272691097,0.25388300003603903,2.3534059302527376e-7,1.0057074092025193,"c(-1,1)",3.5,0.5,0.2,1,0
-0.012355318374562585,0.2641722243851421,1.9544164163761324e-7,1.0026102619088828,"c(-1,1)",3.75,0.5,0,1,0
-0.06002715809202983,0.22965863129316239,3.225924244855323e-7,1.0027363174241837,"c(-1,1)",3.75,0.5,0.1,1,0
0.11849518496610842,0.23434622966645138,3.7525532739832357e-7,1.0028493097902915,"c(-1,1)",3.75,0.5,0.2,1,0
0.04602528250178884,0.2192439761233445,7.799513631692713e-7,0.9995208303869703,"c(-1,1)",4,0.5,0,1,0
0.0020759835543754123,0.22049013890011207,2.0055922623186724e-7,0.9993861479333833,"c(-1,1)",4,0.5,0.1,1,0
0.021195282379218867,0.2476259909988908,3.92741514945843e-7,0.9993909424183437,"c(-1,1)",4,0.5,0.2,1,0
0.024503095633827878,0.2841444639883276,3.7051691039024944e-7,0.9958040022031553,"c(-1,1)",4.25,0.5,0,1,0
-0.01629537307104735,0.2721358411401328,6.482277796409011e-7,0.9957806435157226,"c(-1,1)",4.25,0.5,0.1,1,0
-0.047493016925547,0.288908957970899,3.2534827373306765e-7,0.9957640474757409,"c(-1,1)",4.25,0.5,0.2,1,0
-0.0368876835530108,0.24237473056357411,1.8155344329465312e-7,0.9921352761832232,"c(-1,1)",4.5,0.5,0,1,0
-0.03632762978025693,0.26013596373758063,3.505452458685019e-7,0.9920953759825559,"c(-1,1)",4.5,0.5,0.1,1,0
-0.03503645495974517,0.20183638256823996,3.339896485759103e-7,0.992188378140837,"c(-1,1)",4.5,0.5,0.2,1,0
-0.002628451369237969,0.2426439588011807,4.844010016387899e-7,1.0046851211717491,"c(-1,1)",4.75,0.5,0,1,0
-0.05260446815927777,0.23434185850145073,5.459081229038294e-7,1.0047722309519993,"c(-1,1)",4.75,0.5,0.1,1,0
-0.057061686196938785,0.22402726392528682,2.5541691708496527e-7,1.0046554653724094,"c(-1,1)",4.75,0.5,0.2,1,0
0.03310498037054019,0.253759390339181,6.843904817539918e-7,1.0001198936527713,"c(-1,1)",5,0.5,0,1,0
-0.07144680423492336,0.24806791794895183,5.466659647526642e-7,1.0001727576646071,"c(-1,1)",5,0.5,0.1,1,0
0.0053814397071566674,0.2809223417459335,6.126162044148633e-7,0.9999658209613215,"c(-1,1)",5,0.5,0.2,1,0
-0.031821009884568055,0.8967543915093554,1.0584454381991173e-6,0.9995952179421109,"c(-1,1)",0,1,0,1,0
-0.09045533093023106,1.02066699053519,1.398291613871973e-6,0.9993948934170046,"c(-1,1)",0,1,0.1,1,0
-0.05550785429507211,1.1288481721755599,1.7342616643347105e-6,0.9992411317852982,"c(-1,1)",0,1,0.2,1,0
0.031495560902180156,0.8957550812008883,1.3738802483404865e-6,0.9994909125584965,"c(-1,1)",0.25,1,0,1,0
0.03705888013344293,1.2404154659821882,1.9242651496696363e-6,0.9990058050486902,"c(-1,1)",0.25,1,0.1,1,0
-0.0346775654920439,0.9907331356363994,1.3388754441730144e-6,0.9993606219619602,"c(-1,1)",0.25,1,0.2,1,0
-0.014365684702466179,0.992787226197047,1.2700856506527638e-6,0.9990919789142755,"c(-1,1)",0.5,1,0,1,0
-0.0022369643718515,0.8626293694928181,5.845651102912195e-7,0.9992774304778544,"c(-1,1)",0.5,1,0.1,1,0
0.15456430792150277,1.0690274501868262,1.7973250222323177e-6,0.9989487237960216,"c(-1,1)",0.5,1,0.2,1,0
-0.05655197209870007,0.9794927254744759,1.4889141764404792e-6,0.9986572413123114,"c(-1,1)",0.75,1,0,1,0
-0.024421596488490217,0.8195298559229058,1.2897440803010293e-6,0.9988864862182083,"c(-1,1)",0.75,1,0.1,1,0
-0.06331691144658001,1.0917805744213818,1.7210023690322177e-6,0.9985086624980154,"c(-1,1)",0.75,1,0.2,1,0
-0.01935526340684697,0.9966485276030977,1.5685817731470965e-6,0.9980130413888126,"c(-1,1)",1,1,0,1,0
0.04776864048269867,1.0608981851337145,2.1033614215579086e-6,0.9979422728345723,"c(-1,1)",1,1,0.1,1,0
